subj_no,stim_cond,percept_acc,d-prime,c,beta,conf_resp,c_conf_resp,ic_conf_resp,percept_rt,conf_rt,threshold,exp_cond
12,8.0,0.9722222222222222,3.829011650111114,2.220446049250313e-16,1.0000000000000009,3.3055555555555554,3.3285714285714287,2.5,753.6111111111111,334.2916666666667,2.87813287753772,tilt_high
12,9.0,0.7777777777777778,1.5938129671861154,0.28841842448370114,1.5835751197295798,2.6319444444444446,2.7767857142857144,2.125,829.2986111111111,391.34027777777777,2.87813287753772,baseline
13,1.0,0.5833333333333334,0.44974549896791616,-0.36458304836582023,0.8487678367592328,2.1805555555555554,2.357142857142857,1.9333333333333333,614.8611111111111,473.0,2.9125666239016708,size_low
13,2.0,0.6111111111111112,0.6048048298776261,-0.37208733525726867,0.798484105079206,2.4583333333333335,2.5681818181818183,2.2857142857142856,526.5972222222222,465.2083333333333,2.9125666239016708,size_high
13,3.0,0.7083333333333334,1.120200091625918,-0.20460962797342808,0.7951665224955727,2.375,2.549019607843137,1.9523809523809523,625.2638888888889,506.0,2.9125666239016708,dur_low
13,4.0,0.7361111111111112,1.2923614194696298,-0.21545341043935737,0.7569609021108864,2.7916666666666665,2.9245283018867925,2.4210526315789473,476.27777777777777,510.22222222222223,2.9125666239016708,dur_high
13,5.0,0.5,0.0,-0.28221614706250825,1.0,2.361111111111111,2.5833333333333335,2.138888888888889,497.94444444444446,474.125,2.9125666239016708,noise_high
13,6.0,0.6944444444444444,1.107131864983563,-0.41385563360991945,0.6324255584402955,2.4444444444444446,2.88,1.4545454545454546,549.9861111111111,453.3333333333333,2.9125666239016708,noise_low
13,7.0,0.5694444444444444,0.3687777602274944,-0.32409917899560936,0.8873457555311427,2.3055555555555554,2.3658536585365852,2.225806451612903,545.7777777777778,480.5833333333333,2.9125666239016708,tilt_low
13,8.0,0.7361111111111112,1.322911983941232,-0.30596557413108505,0.6671332187881638,2.5,2.7735849056603774,1.736842105263158,513.8472222222222,466.59722222222223,2.9125666239016708,tilt_high
13,9.0,0.6597222222222222,0.8585783517045776,-0.28957887697042667,0.7798714700390746,2.3819444444444446,2.6210526315789475,1.9183673469387754,506.7083333333333,485.2013888888889,2.9125666239016708,baseline
14,1.0,0.8611111111111112,2.1880619149490506,-0.1266093913728243,0.7580323718407543,1.6805555555555556,1.7741935483870968,1.1,1129.75,374.6666666666667,3.404039556938245,size_low
14,2.0,0.8888888888888888,2.468319035177397,-0.1488346095119396,0.6925524527460123,2.361111111111111,2.4375,1.75,993.1805555555555,406.8333333333333,3.404039556938245,size_high
14,3.0,0.875,2.350415693202339,-0.2077862804994685,0.6136171162493103,2.263888888888889,2.365079365079365,1.5555555555555556,1005.125,369.47222222222223,3.404039556938245,dur_low
14,4.0,0.9583333333333334,3.5077246430786073,0.16064350351625367,1.75679860106313,2.875,2.9565217391304346,1.0,927.7777777777778,431.56944444444446,3.404039556938245,dur_high
14,5.0,0.7638888888888888,1.4759096252110577,-0.22946675349617224,0.712716046138905,1.9166666666666667,2.090909090909091,1.3529411764705883,967.2222222222222,367.5,3.404039556938245,noise_high
14,6.0,0.9722222222222222,3.7936293992330823,0.30359588159349116,3.1636621407881904,2.736111111111111,2.757142857142857,2.0,884.8055555555555,406.43055555555554,3.404039556938245,noise_low
14,7.0,0.8194444444444444,1.8500345818631456,-0.16030761714518577,0.7433601441712827,1.9444444444444444,2.0338983050847457,1.5384615384615385,1025.4583333333333,396.80555555555554,3.404039556938245,tilt_low
14,8.0,0.9722222222222222,3.829011650111114,2.220446049250313e-16,1.0000000000000009,3.5277777777777777,3.6,1.0,792.2083333333334,326.6111111111111,3.404039556938245,tilt_high
14,9.0,0.9791666666666666,4.19178873368225,-0.36422997071887964,0.21723510304994323,2.5694444444444446,2.595744680851064,1.3333333333333333,933.1805555555555,423.69444444444446,3.404039556938245,baseline
15,1.0,0.5416666666666666,0.21042839424792484,-0.10521419712396242,0.9781032376462597,2.0694444444444446,2.128205128205128,2.0,1817.3333333333333,231.40277777777777,4.782110705321852,size_low
15,2.0,0.7361111111111112,1.26394554804586,-0.0425169761731517,0.9476792832727822,3.361111111111111,3.452830188679245,3.1052631578947367,677.2638888888889,203.83333333333334,4.782110705321852,size_high
15,3.0,0.6944444444444444,1.0299801680356124,0.15949966617827546,1.1785460208260674,3.486111111111111,3.58,3.272727272727273,1991.486111111111,187.11111111111111,4.782110705321852,dur_low
15,4.0,0.7638888888888888,1.8036472122709748,-0.6913952118875626,0.28735610554257585,3.625,3.6363636363636362,3.588235294117647,466.05555555555554,196.95833333333334,4.782110705321852,dur_high
15,5.0,0.5277777777777778,0.15872849855432086,-0.5100915485726178,0.9222249860373573,1.1805555555555556,1.236842105263158,1.1176470588235294,735.2916666666666,223.02777777777777,4.782110705321852,noise_high
15,6.0,0.8055555555555556,1.8914821862099946,0.43725303399564075,2.2865778807808836,3.6527777777777777,3.7241379310344827,3.357142857142857,588.5,205.11111111111111,4.782110705321852,noise_low
15,7.0,0.7361111111111112,1.26394554804586,0.0425169761731517,1.0552093072526918,3.4722222222222223,3.4150943396226414,3.6315789473684212,5948.0,219.81944444444446,4.782110705321852,tilt_low
15,8.0,0.9305555555555556,3.135146173902907,0.34693273810410385,2.967396136252414,3.736111111111111,3.746268656716418,3.6,1625.5972222222222,250.0,4.782110705321852,tilt_high
15,9.0,0.75,1.3489795003921634,-0.0,1.0,3.4791666666666665,3.537037037037037,3.3055555555555554,575.5763888888889,5151.111111111111,4.782110705321852,baseline
16,1.0,0.6805555555555556,1.0013444190560343,-0.36096191064615507,0.6966673828222963,2.2083333333333335,2.2448979591836733,2.130434782608696,528.2638888888889,241.75,3.222115514676045,size_low
16,2.0,0.75,1.7329291169049121,-0.7267542595705939,0.2838204051054283,2.25,2.2962962962962963,2.111111111111111,473.4861111111111,101.375,3.222115514676045,size_high
16,3.0,0.7638888888888888,1.5761307666868807,-0.43257496550390934,0.5057085761717487,2.263888888888889,2.290909090909091,2.176470588235294,485.625,106.95833333333333,3.222115514676045,dur_low
16,4.0,0.75,1.9841907453740126,-0.9224104523685506,0.16037534849852564,2.3472222222222223,2.3703703703703702,2.2777777777777777,439.30555555555554,138.55555555555554,3.222115514676045,dur_high
