subject_ID,trial_no,stim_condition,answer,percept_resp,conf_resp,correct,percept_rt,conf_rt,stim_size,stim_dur,stim_contrast,stim_tilt_diff,text_stim_condition
24,166,1,1,1,3,1,1034.0,273.0,75.0,100.0,0.75,2.508190700142546,size_low
24,167,4,0,0,4,1,354.0,459.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,168,1,0,1,3,0,849.0,324.0,75.0,100.0,0.75,2.508190700142546,size_low
24,169,7,1,0,4,0,692.0,400.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,170,9,0,0,4,1,1177.0,357.0,150.0,100.0,0.75,2.508190700142546,baseline
24,171,3,0,1,3,0,1043.0,331.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,172,3,0,1,3,0,740.0,252.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,173,4,0,1,3,0,1058.0,281.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,174,6,1,1,3,1,784.0,388.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,175,4,1,1,3,1,1118.0,231.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,176,9,0,0,3,1,826.0,381.0,150.0,100.0,0.75,2.508190700142546,baseline
24,177,9,0,0,3,1,651.0,276.0,150.0,100.0,0.75,2.508190700142546,baseline
24,178,1,0,0,3,1,626.0,248.0,75.0,100.0,0.75,2.508190700142546,size_low
24,179,9,1,1,3,1,1019.0,220.0,150.0,100.0,0.75,2.508190700142546,baseline
24,180,9,0,0,4,1,489.0,316.0,150.0,100.0,0.75,2.508190700142546,baseline
24,181,9,1,1,3,1,661.0,211.0,150.0,100.0,0.75,2.508190700142546,baseline
24,182,7,1,1,3,1,515.0,169.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,183,9,1,1,3,1,410.0,146.0,150.0,100.0,0.75,2.508190700142546,baseline
24,184,6,0,0,3,1,393.0,178.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,185,1,0,0,2,1,139.0,1803.0,75.0,100.0,0.75,2.508190700142546,size_low
24,186,9,1,1,3,1,857.0,231.0,150.0,100.0,0.75,2.508190700142546,baseline
24,187,5,0,1,1,0,1009.0,820.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,188,3,1,1,2,1,760.0,429.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,189,5,0,1,2,0,946.0,368.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,190,1,0,1,1,0,827.0,541.0,75.0,100.0,0.75,2.508190700142546,size_low
24,191,9,0,1,1,0,627.0,697.0,150.0,100.0,0.75,2.508190700142546,baseline
24,192,7,0,1,3,0,952.0,1504.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,193,4,0,0,3,1,1090.0,734.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,194,4,1,0,3,0,701.0,562.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,195,7,0,1,3,0,683.0,359.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,196,5,0,1,2,0,662.0,376.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,197,9,1,1,2,1,862.0,373.0,150.0,100.0,0.75,2.508190700142546,baseline
24,198,2,1,1,3,1,650.0,304.0,225.0,100.0,0.75,2.508190700142546,size_high
24,199,1,1,0,3,0,938.0,418.0,75.0,100.0,0.75,2.508190700142546,size_low
24,200,4,0,0,4,1,546.0,548.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,201,5,0,0,3,1,512.0,396.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,202,4,0,0,3,1,367.0,246.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,203,8,0,0,3,1,481.0,243.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,204,9,1,0,4,0,646.0,243.0,150.0,100.0,0.75,2.508190700142546,baseline
24,205,9,0,0,4,1,469.0,271.0,150.0,100.0,0.75,2.508190700142546,baseline
24,206,5,0,0,3,1,640.0,467.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,207,7,0,1,2,0,1102.0,623.0,150.0,100.0,0.75,1.254095350071273,tilt_low
