subj_no,stim_cond,percept_acc,d-prime,c,beta,conf,c_conf,ic_conf,percept_rt,conf_rt,threshold
11,15.0,0.57,0.5316413866731732,0.9091660987295036,1.6214978574803167,2.48,2.6666666666666665,2.2325581395348837,854.74,554.9,4.011853780603274
12,0.0,0.79,1.613814447761599,0.03471400969211469,1.0576209198157829,2.88,2.8987341772151898,2.8095238095238093,880.58,704.39,3.4316263825448186
12,1.0,0.61,0.5828415072712162,0.2914207536356081,1.1851295710870258,2.82,2.8360655737704916,2.7948717948717947,1015.54,736.2,3.4316263825448186
12,2.0,0.75,1.4804675801654876,0.4347530019833464,1.9033923181973793,3.1,3.1333333333333333,3.0,914.37,738.54,3.4316263825448186
12,3.0,0.69,0.995304636712621,0.08518918891490565,1.088487583586506,2.89,2.927536231884058,2.806451612903226,959.89,719.1,3.4316263825448186
12,4.0,0.73,1.2261869126641332,0.03025194906085038,1.0377911331468004,2.9,2.9863013698630136,2.6666666666666665,810.46,698.41,3.4316263825448186
12,5.0,0.58,0.40591450861086725,0.10252353379396376,1.0424938650621425,2.68,2.706896551724138,2.642857142857143,848.55,670.25,3.4316263825448186
12,6.0,0.77,1.5480181399294644,0.3063102708502237,1.6066862943542726,2.81,2.844155844155844,2.6956521739130435,803.84,703.01,3.4316263825448186
12,7.0,0.68,0.9596496659758871,0.22647772985214384,1.2427656734268833,2.71,2.7941176470588234,2.53125,826.74,706.56,3.4316263825448186
12,8.0,0.8,1.9672367240382584,0.5711552325777243,3.0759000224279056,3.2,3.275,2.9,807.68,737.12,3.4316263825448186
12,9.0,0.64,0.7262939918498916,0.16125351678309507,1.12425147696816,2.86,2.875,2.8333333333333335,945.9,740.89,3.4316263825448186
12,10.0,0.73,1.230703075548128,0.09095102506602337,1.118438712716625,2.87,3.0136986301369864,2.4814814814814814,851.13,737.44,3.4316263825448186
