subj_no,stim_cond,stim_level,percept_acc,d-prime,c,beta,conf,c_conf,ic_conf,percept_rt,c_rt,ic_rt,conf_rt
1,0.0,0.0,0.85625,2.1272762446912488,-0.005516504660847743,0.9883334587525161,1.88,1.9883211678832118,1.2347826086956522,1255.01375,1193.5591240875913,1621.0695652173913,434.5925
1,0.0,1.0,0.79875,1.709193633486103,0.20352480094172515,1.4160386555641284,1.58625,1.697965571205008,1.1428571428571428,1435.33125,1338.0281690140846,1821.5217391304348,418.13
1,1.0,0.0,0.86125,2.1845938184771843,0.10806194879226716,1.266264800983194,1.87625,1.995645863570392,1.135135135135135,1304.34375,1221.1814223512338,1820.5495495495495,449.4825
1,1.0,1.0,0.79375,1.6489567313536675,0.11011092539664641,1.199096254287405,1.59,1.6881889763779527,1.2121212121212122,1386.00125,1308.9669291338582,1682.4666666666667,403.24
1,2.0,0.0,0.87,2.2584804757156363,0.07111862017304127,1.1742386910824871,1.88125,1.9813218390804597,1.2115384615384615,1283.69125,1229.8591954022988,1643.951923076923,449.89125
1,2.0,1.0,0.785,1.593426983809668,0.13787579916864623,1.2456967585679153,1.585,1.7006369426751593,1.1627906976744187,1406.65375,1300.3280254777071,1794.8662790697674,402.83125
1,3.0,0.0,0.905,2.6907629889193188,0.23073047952699954,1.8604921225151474,1.945,2.031767955801105,1.118421052631579,1246.67125,1186.3176795580112,1821.6184210526317,438.64125
1,3.0,1.0,0.75,1.3510300846684498,0.055123440265147094,1.0773167147091678,1.52125,1.6266666666666667,1.205,1443.67375,1356.1566666666668,1706.225,414.08125
2,0.0,0.0,0.7325,1.2411055314353954,0.022792639675219273,1.0286919782513917,3.68625,3.7764505119453924,3.439252336448598,709.415,731.2645051194539,649.5841121495328,398.57625
2,0.0,1.0,0.63625,0.7022461240393625,-0.12357808537853177,0.9168767407911739,3.4775,3.593320235756385,3.274914089347079,1188.8325,589.9705304518664,2236.3264604810997,422.3825
2,1.0,0.0,0.74375,1.3099887117792233,0.011648950496694677,1.0153770218834883,3.65875,3.7596638655462185,3.3658536585365852,891.03,677.5478991596639,1510.648780487805,394.7175
2,1.0,1.0,0.625,0.6413135828779438,-0.11236353914874679,0.9304748201020671,3.505,3.61,3.33,1007.2175,651.35,1600.33,426.24125
2,2.0,0.0,0.7225,1.1813907339932421,0.03731064744094842,1.0450643402785897,3.68875,3.795847750865052,3.40990990990991,1039.20375,696.3217993079585,1931.9324324324325,396.9225
2,2.0,1.0,0.64625,0.7576497448806716,-0.13839884129802793,0.9004525156941804,3.475,3.574468085106383,3.293286219081272,859.04375,631.2224371373308,1275.2402826855123,424.03625
2,3.0,0.0,0.7075,1.0971075955627965,-0.09479160761151875,0.9012283681657997,3.55875,3.6996466431095407,3.217948717948718,819.0525,600.2950530035336,1348.1837606837607,414.67875
2,3.0,1.0,0.66125,0.8318753962300556,-0.01708263247269093,0.9858898726350905,3.605,3.68241965973535,3.4538745387453873,1079.195,735.4423440453686,1750.210332103321,406.28
3,0.0,0.0,0.82125,1.8515597221949451,-0.11065352839631687,0.8147437630858094,2.6525,2.7519025875190257,2.195804195804196,705.78875,677.4642313546423,835.9230769230769,263.3375
3,0.0,1.0,0.75,1.3627296606170078,-0.14252880003005364,0.8234699477981113,2.3025,2.47,1.8,773.70375,713.2583333333333,955.04,274.61375
3,1.0,0.0,0.82125,1.8583462796646948,-0.13998148717412484,0.7709482132890637,2.725,2.863013698630137,2.090909090909091,747.3025,700.3196347031964,963.1608391608391,271.7675
3,1.0,1.0,0.75,1.3584798780003213,-0.11853690712507742,0.8512665300637925,2.23,2.348333333333333,1.875,732.19,688.2316666666667,864.065,266.18375
3,2.0,0.0,0.81875,1.8470353937946373,-0.16810267053684935,0.7330864953078103,2.74375,2.848854961832061,2.268965517241379,712.08375,673.5618320610687,886.096551724138,266.71125
3,2.0,1.0,0.7525,1.370948631193202,-0.09518992120963243,0.8776560609788394,2.21125,2.3654485049833887,1.7424242424242424,767.40875,717.3853820598007,919.5,271.24
3,3.0,0.0,0.83125,1.9287719912483836,-0.10476863138228037,0.8170338100799773,2.57375,2.712781954887218,1.8888888888888888,702.415,658.2676691729323,919.8814814814815,265.53875
3,3.0,1.0,0.74,1.300726030020296,-0.1474138311150901,0.8255173425383919,2.38125,2.510135135135135,2.014423076923077,777.0775,735.3057432432432,895.9663461538462,272.4125
4,0.0,0.0,0.84125,2.2824055683048146,-0.5283897931357799,0.2993925153654328,2.7125,2.9182763744427933,1.6220472440944882,1501.18375,1356.0817236255573,2270.1102362204724,495.63625
4,0.0,1.0,0.82375,2.2182342376001443,-0.6132667714526189,0.2565659970006449,2.68375,2.904400606980273,1.6524822695035462,1342.32,1218.6874051593322,1920.1489361702127,464.33125
4,1.0,0.0,0.875,2.9557701678851345,-0.7635176436623796,0.10468675495967147,2.785,2.96,1.56,1346.00375,1230.0957142857144,2157.36,480.2575
4,1.0,1.0,0.79,1.8277401398212345,-0.5082203622117027,0.3949900296117545,2.61125,2.857594936708861,1.6845238095238095,1497.5,1352.35917721519,2043.5059523809523,479.71
4,2.0,0.0,0.85875,2.4097651505523237,-0.4905151349959741,0.30665673679988875,2.81125,2.995633187772926,1.6902654867256637,1434.465,1289.8384279475983,2313.7433628318586,490.1125
4,2.0,1.0,0.80625,2.10104741797105,-0.6448740012866107,0.25797029010582895,2.585,2.8217054263565893,1.6,1409.03875,1286.262015503876,1919.9483870967742,469.855
4,3.0,0.0,0.89,2.7324046757743776,-0.47905577886831274,0.27009696626654645,2.90625,3.068820224719101,1.5909090909090908,1304.4275,1203.0926966292134,2124.318181818182,473.32375
4,3.0,1.0,0.775,1.8489210271942413,-0.6516514603895383,0.2997363309798214,2.49,2.7306451612903224,1.6611111111111112,1539.07625,1385.7354838709678,2067.25,486.64375
5,0.0,0.0,0.7125,1.5646531816899345,-0.8387556600074413,0.2691835709885769,2.53,2.692982456140351,2.126086956521739,382.88875,363.79122807017546,430.2173913043478,534.345
5,0.0,1.0,0.675,1.3272286179557042,-0.8911592856190014,0.3064281086129448,2.595,2.824074074074074,2.1192307692307693,377.5525,360.2537037037037,413.4807692307692,503.80625
5,1.0,0.0,0.7325,1.7009305593096138,-0.8191272976333803,0.24826001052250457,2.69375,2.854948805460751,2.2523364485981308,361.90625,342.96928327645054,413.7616822429907,515.94
5,1.0,1.0,0.655,1.195462523654909,-0.9163706257918297,0.33437681245769485,2.43125,2.6469465648854964,2.0217391304347827,398.535,383.4312977099237,427.21014492753625,522.21125
5,2.0,0.0,0.7175,1.607245339290216,-0.841230957306364,0.2587056020520855,2.6275,2.836236933797909,2.0973451327433628,370.48125,344.14459930313586,437.37168141592923,525.41375
